,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
u1011,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,4.0,3.0,,,4.0,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1012,,,3.0,3.0,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,4.0,,
u1013,,,,,,,,,,,3.0,,,,,,,,,,,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,4.0,,,4.0,,5.0,,,5.0,5.0,,,,,,,4.0,,,,,,,1.0,,,,,,2.0,,,,5.0,,,,,,,
u1014,,,4.0,,,4.0,,,4.0,,,5.0,,,,,4.0,5.0,,,,3.0,,,2.0,,,,,3.0,,,,,2.0,,4.0,,,,,,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
u1015,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,4.0,,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,,
u1016,5.0,,,,,5.0,,,,,,,4.0,4.0,,5.0,,5.0,5.0,,,5.0,4.0,4.0,,5.0,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,5.0,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,5.0,,,3.0,,,,,,,
u1017,3.0,3.0,,,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,,4.0,4.0,,2.0,,,4.0,,,,4.0,1.0,3.0,4.0,,5.0,4.0,4.0,,5.0,,5.0,3.0,5.0,3.0,,1.0,1.0,,4.0,5.0,,5.0,4.0,,3.0,,4.0,,,,4.0,,5.0,5.0,5.0,,,4.0,4.0,,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,,,,,,3.0,,3.0,,,3.0,3.0,4.0,,3.0,,,2.0,3.0,2.0,,,1.0,3.0,,,
u1018,,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,,,5.0,,,,,,5.0,5.0,,5.0,5.0,,,,3.0,,4.0,,,5.0,,4.0,,5.0,,,3.0,,,5.0,,,5.0,,4.0,5.0,,5.0,,,3.0,5.0,5.0,,,5.0,,,4.0,,,,4.0,,4.0,5.0,,,,5.0,,,,5.0,,3.0,5.0,,,5.0,,,,,,,,,,,,,,4.0,,
u1019,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,,4.0,,3.0,1.0,,5.0,2.0,3.0,4.0,3.0,4.0,1.0,,5.0,1.0,5.0,,,2.0,5.0,4.0,3.0,5.0,4.0,1.0,3.0,2.0,5.0,,3.0,,1.0,3.0,2.0,4.0,4.0,,3.0,3.0,1.0,,1.0,,1.0,3.0,3.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,,,5.0,,1.0,3.0,4.0,5.0,,2.0,4.0,,3.0,,2.0,5.0,
u102,3.0,,,,,,,,5.0,,,,,,,5.0,,,,,1.0,,3.0,,,,,3.0,5.0,,,,,1.0,,,5.0,,,,,,5.0,5.0,,1.0,4.0,3.0,,,4.0,,,,4.0,,,,,,,,,,5.0,,4.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,5.0,1.0,,,,,,,,
u1020,4.0,,,5.0,,5.0,5.0,5.0,,,4.0,,,,5.0,,,,5.0,,,4.0,,,,,,5.0,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,,4.0,,4.0,2.0,,,4.0,,,,4.0,,,,,,,,5.0
u1021,5.0,4.0,4.0,,,5.0,,,,5.0,,5.0,5.0,,,5.0,,5.0,5.0,4.0,,,,,5.0,,,,,5.0,,,,,,3.0,,,5.0,,,,,,5.0,5.0,,,,5.0,5.0,,,,,,,,5.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,5.0,,,,,,,,,
u1022,,,,1.0,,4.0,,,,5.0,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,1.0,,,2.0,3.0,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,5.0,,,,,,2.0,4.0,3.0,,,,1.0,,,,,4.0,,,5.0,,,,,,,,,,5.0,,,,,
u1023,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,,5.0,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,
u1024,,,,1.0,2.0,,,,,,,,,,,4.0,3.0,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1025,5.0,,4.0,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,5.0,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,5.0,,,,,,5.0,,5.0,,,,,,,,,,,,,,,
u1026,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1027,5.0,,,,,4.0,2.0,,,4.0,,,,,4.0,,,5.0,,,,,,4.0,5.0,,,4.0,,,,,,,,,,4.0,,,3.0,,,5.0,,,,,,5.0,5.0,,4.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,
u1028,5.0,,,,,,,,,5.0,,,5.0,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1029,3.0,2.0,2.0,3.0,1.0,,3.0,,3.0,4.0,2.0,3.0,3.0,4.0,,3.0,5.0,,,,,,,5.0,,,3.0,,,4.0,,,,,,,4.0,3.0,,,3.0,,,,5.0,,,,4.0,,,2.0,,3.0,,2.0,1.0,4.0,,4.0,,,3.0,,5.0,,,3.0,4.0,4.0,,,,,1.0,4.0,3.0,3.0,,,,4.0,2.0,,,,,,3.0,,,1.0,4.0,,,4.0,,3.0,4.0,
u103,,,,,5.0,5.0,5.0,5.0,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,5.0,5.0,,,,,,,,,3.0,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,4.0,,4.0,,,,5.0,,,,4.0,,4.0,,,,,,5.0
u1030,5.0,5.0,5.0,,4.0,5.0,,4.0,,,2.0,5.0,,,5.0,5.0,4.0,,,,,4.0,,,,,,,5.0,,5.0,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,4.0,,3.0,,,,,4.0,,,4.0,,,,,,,,5.0,4.0,,5.0,,4.0,5.0,4.0,,4.0,,,,4.0,,,,3.0,,4.0,,,,3.0,3.0,3.0
u1031,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,,4.0,4.0,,,5.0,,,,,,,3.0,,,,,,,5.0,,4.0,4.0,,3.0,5.0,4.0,,,,,,5.0,4.0,3.0,4.0,5.0,4.0,,,,,4.0,,4.0,5.0,4.0,4.0,,,,,,,4.0,,3.0,3.0,,,,,,,,5.0,,,3.0,,,4.0,,,4.0,,,5.0,,,,5.0,3.0,,,,,,4.0,3.0,4.0
u1032,,,,4.0,4.0,,,,,,5.0,,5.0,,,4.0,,,,,,5.0,5.0,4.0,,5.0,,,,5.0,,4.0,,3.0,,,4.0,,,5.0,,,4.0,4.0,,,,5.0,,,5.0,,,,,,,,5.0,,5.0,4.0,,,,,,,,,4.0,,,3.0,,,,,,,,3.0,,,,,4.0,4.0,5.0,,,,,,,,,,,
u1033,4.0,5.0,5.0,5.0,2.0,,4.0,,,,3.0,,,,5.0,,,,,,,4.0,,,,,5.0,,,,,,,4.0,4.0,,,3.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,5.0,4.0,2.0,,3.0,,,,,,,,,,2.0,,,,,,,,3.0,,4.0,,,,,,,,,
u1034,5.0,4.0,4.0,3.0,3.0,4.0,,2.0,,,,5.0,,,,5.0,,,3.0,,4.0,3.0,,,,,4.0,,,,,,,4.0,,,4.0,,,,,,3.0,,4.0,3.0,,4.0,,,5.0,4.0,,,,4.0,4.0,,4.0,5.0,,5.0,,,,,2.0,,4.0,,,,4.0,4.0,3.0,,4.0,2.0,3.0,,,,,,,4.0,,,,,,,,,,,4.0,4.0,,
u1035,3.0,,5.0,,2.0,5.0,,,,2.0,,4.0,,,4.0,,,5.0,,,5.0,,,5.0,5.0,,,,,,,,,1.0,,,,5.0,,,,,,5.0,5.0,,,,,,1.0,,5.0,,,,,,,,3.0,,5.0,,,5.0,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
u1036,4.0,4.0,,,,,,,,5.0,,3.0,5.0,,,4.0,,,3.0,,,,4.0,,5.0,,,5.0,,5.0,,,,,,,,,5.0,,,,,5.0,5.0,,,,4.0,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,
u1037,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
u1038,1.0,3.0,3.0,,,3.0,,,,5.0,,,,5.0,,5.0,5.0,5.0,,3.0,,,,5.0,5.0,5.0,4.0,,,,,,,,,,,,,5.0,,,,5.0,,,,,5.0,,5.0,,,,,,,,,5.0,,,,,,,,,5.0,,,,,4.0,,,,,,,,,,,,,5.0,,,,4.0,4.0,,,4.0,,,,1.0,
u1039,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
u104,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,,,3.0,,,,,,4.0,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,3.0,,4.0,,,,,,,,,,,,,,,
u1040,5.0,5.0,5.0,4.0,,,4.0,,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,,4.0,,4.0,,4.0,,4.0,5.0,5.0,,4.0,2.0,,5.0,5.0,,,,5.0,5.0,5.0,4.0,5.0,4.0,,,4.0,5.0,,5.0,,,5.0,,4.0,,,,4.0,5.0,4.0,4.0,4.0,5.0,,5.0,,4.0,,,,4.0,5.0,3.0,,,,,,5.0,5.0,,4.0,,,5.0,3.0,4.0,4.0,
u1041,4.0,,,,2.0,,,,,,,,5.0,,,,,,,,,,5.0,,5.0,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,3.0,,,4.0,,,,,5.0,,,,,,,,,
u1042,,5.0,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1043,2.0,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
u1044,,4.0,5.0,3.0,,,,,3.0,,,5.0,,,,,5.0,,,,4.0,,,,5.0,,,,4.0,3.0,5.0,,,,5.0,4.0,3.0,4.0,,,4.0,,,,,,4.0,,5.0,4.0,,4.0,,,,2.0,4.0,4.0,,4.0,,,4.0,,,,,,,4.0,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,4.0,2.0,4.0,4.0,
u1045,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
u1046,,,,,3.0,,,,,,4.0,5.0,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1047,,5.0,5.0,5.0,,5.0,3.0,4.0,4.0,,3.0,4.0,,5.0,5.0,,,,,,4.0,4.0,,,,,,,4.0,,,3.0,,5.0,,,,4.0,,,,,3.0,,3.0,,4.0,,,,,,,,,,,,,,5.0,,,,,3.0,5.0,,,,,5.0,,,3.0,,,,,4.0,,,,,,,4.0,3.0,,,,,,,,,,,,
u1048,,,,,,4.0,,,,,,,5.0,4.0,,4.0,,5.0,5.0,4.0,,,4.0,4.0,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,
u1049,5.0,,,,,4.0,,4.0,,,3.0,,,,,,,5.0,,,,2.0,,,,,,,,,,3.0,,,,,,,,5.0,,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,
u105,,5.0,5.0,4.0,3.0,5.0,5.0,5.0,,,,,,,,,5.0,,,,,,,,5.0,,,,,,5.0,,4.0,5.0,4.0,,,,,,,,,,,,4.0,,5.0,5.0,,,,,,5.0,,,,,,,,,,,3.0,,,,,,,,5.0,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,3.0,
u1050,5.0,,,,4.0,4.0,4.0,5.0,,4.0,2.0,,5.0,5.0,5.0,4.0,,3.0,5.0,4.0,4.0,4.0,,5.0,,5.0,,5.0,,4.0,,4.0,5.0,3.0,,,,,4.0,3.0,,3.0,3.0,,,,,,,,,,3.0,3.0,4.0,,,,,,3.0,3.0,,2.0,4.0,3.0,4.0,,,,3.0,3.0,,4.0,,,4.0,,4.0,4.0,,4.0,4.0,3.0,2.0,,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,3.0,,3.0,,,3.0
u1051,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,1.0,4.0,,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,,,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,,5.0,2.0,4.0,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0
u1052,4.0,,,,,,,,,,,,2.0,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1053,,5.0,4.0,,3.0,5.0,5.0,4.0,,,4.0,5.0,,,4.0,3.0,4.0,,5.0,,,3.0,,,5.0,,,,4.0,,4.0,3.0,5.0,4.0,,5.0,4.0,,,,,,4.0,,,3.0,4.0,,5.0,5.0,,5.0,,4.0,4.0,4.0,,,,,,,,3.0,2.0,,,,,,,4.0,,,4.0,,3.0,5.0,,4.0,5.0,2.0,4.0,,4.0,,,3.0,,,,3.0,,3.0,,,,4.0,4.0,5.0
u1054,,,,,5.0,,5.0,5.0,,,5.0,5.0,,,,,,,,,,5.0,,,,,,,,5.0,,,5.0,,,,,,,5.0,,5.0,5.0,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,
u1055,4.0,,,3.0,,,,,,,,,,5.0,,5.0,,5.0,,4.0,,,4.0,,,,4.0,,,5.0,,,,2.0,,,4.0,4.0,,,5.0,,3.0,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,5.0,,,,,5.0,,,,,,,,2.0,,,,,,,,,,,3.0,,,,
u1056,,,,,,,5.0,,4.0,,,,,,5.0,,,,,,,,,,,3.0,3.0,,5.0,4.0,4.0,,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,1.0,,,,,1.0,,,,,,,3.0,,,
u1057,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,,,,,,,5.0,,,4.0,2.0,,,4.0,,,,4.0,5.0,,4.0,,,5.0,3.0,4.0,,,,,,3.0,,5.0,5.0,4.0,4.0,,,,,4.0,,,,,,5.0,,,,,,,3.0,3.0,,,,,,3.0,3.0,5.0,,,,,3.0,4.0,,,,,,3.0,,5.0,,4.0,,,,,,5.0,,,
u1058,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,,5.0,4.0,3.0,4.0,5.0,4.0,5.0,,4.0,5.0,3.0,,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,3.0,5.0,5.0,4.0,5.0,3.0,,5.0,5.0,,5.0,5.0,4.0,4.0,4.0,,5.0,,,,,,4.0,5.0,4.0,4.0,5.0,4.0,,3.0,4.0,4.0,,4.0,5.0,4.0,4.0,,2.0,4.0,4.0,,,4.0,4.0,5.0,3.0,4.0,,4.0,3.0,,4.0,,5.0,,,4.0,
u1059,4.0,3.0,3.0,3.0,2.0,3.0,,3.0,3.0,5.0,,4.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,3.0,,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,,1.0,,,4.0,2.0,4.0,3.0,4.0,4.0,,3.0,3.0,2.0,4.0,,,4.0,4.0,3.0,4.0,5.0,,1.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,,3.0,,,3.0,3.0,4.0,1.0,,4.0,4.0,,4.0,3.0,2.0,3.0,,,3.0,3.0,,4.0,5.0,,,4.0,4.0,,,3.0,,4.0,1.0,1.0,3.0,4.0,
u106,,,,5.0,,5.0,,,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u1060,,,,,3.0,,4.0,4.0,,,3.0,,,,5.0,,,,,,,5.0,,,,,,,,,,2.0,,5.0,,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,5.0,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,,,,5.0
